inst_nm,sigun_nm,refine_road_nm_addr,refine_lotno_addr,refine_zipno,rprs_telno_info,mon_bgng_treat_hr,mon_end_treat_hr,tue_bgng_treat_hr,tue_end_treat_hr,wed_bgng_treat_hr,wed_end_treat_hr,thu_bgng_treat_hr,thu_end_treat_hr,fri_bgng_treat_hr,fri_end_treat_hr,sat_bgng_treat_hr,sat_end_treat_hr,sun_bgng_treat_hr,sun_end_treat_hr,holdy_bgng_treat_hr,holdy_end_treat_hr,refine_wgs84_lat,refine_wgs84_logt
본약국,안양시,경기도 안양시 동안구 흥안대로456번길 11,경기도 안양시 동안구 평촌동 69-1번지 본프라자상가 105호,14061,031-421-5810,08:30,20:00,08:30,20:00,08:30,20:00,08:30,20:00,08:30,20:00,08:30,16:00,,,,,37.3947563,126.9764688
봄온누리약국,안양시,경기도 안양시 동안구 흥안대로 127,경기도 안양시 동안구 호계동 1002-30번지 한신빌딩 105호,14112,031-451-5622,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3708813,126.9589823
부부온누리약국,안양시,경기도 안양시 동안구 관악대로 133,경기도 안양시 동안구 비산동 425번지 삼성래미안아파트 상가 201호,13922,031-449-1873,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:00,10:00,14:00,09:00,21:30,37.3994143,126.9386665
부원약국,안양시,경기도 안양시 만안구 병목안로 14,경기도 안양시 만안구 안양동 782-11번지 우남리치빌 1층 104호,14001,031-429-1030,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,,,,37.3992826,126.9188843
브이원약국,안양시,경기도 안양시 동안구 엘에스로 136,경기도 안양시 동안구 호계동 555-2번지 금정역2차 SK V1 tower 1층 110호,14118,031-342-4372,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,,37.3736234,126.9476909
비즈타워약국,안양시,경기도 안양시 만안구 덕천로152번길 25,경기도 안양시 만안구 안양동 1432번지 안양아이에스BIZ타워센트럴 162호,14084,031-420-2117,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3926189,126.938864
비채원한약국,안양시,경기도 안양시 동안구 관악대로263번길 34,경기도 안양시 동안구 비산동 1049-15번지 금호빌딩 302호,13935,031-386-7977,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.4038842,126.9519319
비타민약국,안양시,경기도 안양시 만안구 안양로 494-1,경기도 안양시 만안구 석수동 279-2번지 1층,13964,031-349-6676,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,15:00,,,,,37.4136574,126.9093714
사랑약국,안양시,경기도 안양시 만안구 전파로 19,경기도 안양시 만안구 안양동 193-51번지 CJ빌딩 1층,14085,031-468-8900,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,16:00,,,,,37.3908959,126.9347987
삼덕공원약국,안양시,경기도 안양시 만안구 병목안로 20,경기도 안양시 만안구 안양동 782-18번지 스페이스타워 1층 101호,14001,031-465-3675,08:30,19:00,08:30,19:00,08:30,19:00,08:30,19:00,08:30,19:00,,,08:30,19:00,,,37.3989556,126.9183671
삼성프라자약국,안양시,경기도 안양시 만안구 태평로 140,경기도 안양시 만안구 안양동 90-1번지 삼성아파트 상가 107호,13994,031-464-5707,09:00,19:30,09:00,19:30,09:00,19:30,09:00,19:30,09:00,19:30,09:00,16:00,,,,,37.4010027,126.9240909
삼세종합약국,안양시,경기도 안양시 만안구 안양로 303,"경기도 안양시 만안구 안양동 676-91번지 안양 메쎄 포스빌 1층 107-1,107-2,108호",14001,031-4683-0013,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,37.3987963,126.9208088
삼아약국,안양시,경기도 안양시 만안구 경수대로 1201,경기도 안양시 만안구 석수동 182-2번지 석수대림아파트 상가 107호,13961,031-474-1077,08:30,21:30,08:30,21:30,08:30,21:30,08:30,21:30,08:30,21:30,08:30,21:30,,,10:00,21:00,37.4160077,126.9143479
삼영약국,안양시,경기도 안양시 만안구 안양로 260,경기도 안양시 만안구 안양동 622-303번지,13996,031-466-1653,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,19:00,,,,,37.3960002,126.9241179
삼원약국,안양시,경기도 안양시 만안구 박달로545번길 46,경기도 안양시 만안구 안양동 825-1번지,13988,031-443-1053,10:30,21:30,10:30,21:30,10:30,21:30,10:30,21:30,10:30,21:30,10:30,21:30,,,10:30,21:30,37.4047803,126.9132715
삼층약국,안양시,경기도 안양시 동안구 평촌대로223번길 49,경기도 안양시 동안구 호계동 1046-6번지 아트타워 301호,14072,031-387-3122,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,13:00,,,09:00,13:00,37.3903509,126.9530697
상록수약국,안양시,경기도 안양시 만안구 삼덕로 12,경기도 안양시 만안구 안양동 627-209번지,13999,031-449-4959,08:30,19:00,08:30,19:00,08:30,19:00,08:30,19:00,08:30,19:00,08:30,13:00,,,,,37.3936654,126.924068
새그린약국,안양시,경기도 안양시 동안구 경수대로 557,경기도 안양시 동안구 호계동 949-17번지 1층 104호,14116,031-452-4350,08:30,19:30,08:30,19:30,08:30,19:30,08:30,19:30,08:30,19:30,08:30,13:30,,,,,37.3724422,126.9573448
새누리약국,안양시,경기도 안양시 동안구 동안로 120,경기도 안양시 동안구 호계동 1051번지 평촌스포츠센타 301호,14072,031-382-1748,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,16:00,,,,,37.3895629,126.9522508
새동산약국,안양시,경기도 안양시 만안구 병목안로 127,경기도 안양시 만안구 안양동 759-12번지,14020,031-449-6053,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,20:00,09:00,12:00,09:00,21:30,37.3924136,126.9096737
새봄온누리약국,안양시,경기도 안양시 동안구 평촌대로211번길 16,경기도 안양시 동안구 호계동 1048-2번지 동아월드프라자 108호,14072,031-381-8278,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,10:00,13:30,09:00,21:00,37.390378,126.9550352
새싹약국,안양시,경기도 안양시 만안구 태평로52번길 37,경기도 안양시 만안구 안양동 1390-5번지 102호,14037,070-4144-8768,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,19:00,,,,,37.3960703,126.9311558
새안양보룡약국,안양시,경기도 안양시 만안구 안양로 259,경기도 안양시 만안구 안양동 627-202번지 1층,13997,031-465-0140,09:00,19:30,09:00,19:30,09:00,19:30,09:00,19:30,09:00,19:30,09:00,16:00,,,,,37.3957634,126.9236226
새진아약국,안양시,경기도 안양시 만안구 안양로 129,경기도 안양시 만안구 안양동 505-14번지,14092,031-449-2966,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,17:30,,,,,37.3859956,126.9317064
새한약국,안양시,경기도 안양시 만안구 안양로 304,경기도 안양시 만안구 안양동 674-121번지,13992,031-449-2686,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,20:00,10:00,18:00,,,37.3992677,126.9213587
샘깊은약국,안양시,경기도 안양시 동안구 흥안대로 528,경기도 안양시 동안구 관양동 1505-4번지 타워빌딩 103호,13943,031-422-0852,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,13:00,,,,,37.4010335,126.9772951
샘모루약국,안양시,경기도 안양시 동안구 관악대로 93,경기도 안양시 동안구 비산동 554-1번지 샘모루빌딩 103호,13925,031-442-9905,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,15:00,,,,,37.3989956,126.9340486
생명약국,안양시,경기도 안양시 만안구 경수대로 1207,경기도 안양시 만안구 석수동 177-6번지 1층,13961,031-473-2155,12:00,19:00,12:00,19:00,12:00,19:00,12:00,19:00,12:00,19:00,,,,,,,37.4165185,126.9137562
생생약국,안양시,경기도 안양시 만안구 안양로 174,경기도 안양시 만안구 안양동 433-2번지 안양 센트럴 헤센 102동 124호,14033,031-360-4644,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,18:00,09:00,22:00,37.3895917,126.9297475
샤론약국,안양시,경기도 안양시 동안구 동편로 16,경기도 안양시 동안구 관양동 1725번지 동편프라자 104호,13929,031-425-2092,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,,,08:30,13:00,37.4060284,126.9714978
서약국,안양시,경기도 안양시 만안구 양화로 36,경기도 안양시 만안구 안양동 952-47번지,14007,031-443-4273,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,09:00,15:00,,,,,37.3969245,126.914101
석수약국,안양시,경기도 안양시 만안구 안양로 443,경기도 안양시 만안구 석수동 314-9번지 102호,13970,031-473-0510,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,,37.4096954,126.9119789
설약국,안양시,경기도 안양시 만안구 만안로 232,경기도 안양시 만안구 안양동 88-1번지 안양역 2층 1호,13992,031-443-0901,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,14:00,,,,,37.40143,126.923003
성애약국,안양시,경기도 안양시 동안구 흥안대로517번길 34,경기도 안양시 동안구 관양동 1491-38번지,13951,031-422-0927,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,,,09:00,23:00,37.4000659,126.9745563
성원약국,안양시,경기도 안양시 만안구 경수대로 1426,경기도 안양시 만안구 석수동 374-7번지 2층,13907,070-8833-1704,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,14:00,,,,,37.4337391,126.9038446
세경온누리약국,안양시,경기도 안양시 동안구 달안로 112,경기도 안양시 동안구 관양동 1589번지 한가람세경상가 101-1호,14052,031-476-0218,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,15:00,,,,,37.3972283,126.9550195
세계로약국,안양시,경기도 안양시 동안구 관악대로 133,경기도 안양시 동안구 비산동 425번지 삼성래미안아파트상가 161동 301-3호,13922,031-466-8447,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,14:00,,,,,37.3994143,126.9386665
세명약국,안양시,경기도 안양시 동안구 흥안대로 313,경기도 안양시 동안구 평촌동 934-1번지,14104,031-421-7623,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,,,37.3831019,126.9704727
세은약국,안양시,경기도 안양시 만안구 박달로 500,경기도 안양시 만안구 박달동 85-1번지 1층,14009,031-468-8253,09:00,20:30,09:00,20:30,09:00,20:30,09:00,20:30,09:00,20:30,09:00,17:30,,,,,37.4024112,126.9081378
세종온누리약국,안양시,경기도 안양시 만안구 안양로 148,경기도 안양시 만안구 안양동 517번지,14034,031-449-6679,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,17:00,,,,,37.3876965,126.9311287
세종우리약국,안양시,경기도 안양시 만안구 충훈로 70,경기도 안양시 만안구 석수동 788-1번지 1층,13973,031-471-8241,08:30,20:00,08:30,20:00,08:30,20:00,08:30,20:00,08:30,20:00,08:30,15:30,09:30,12:30,,,37.4073846,126.9005619
세화약국,안양시,경기도 안양시 만안구 안양로 455-1,경기도 안양시 만안구 석수동 317-15번지,13970,031-471-4122,08:30,21:30,08:30,21:30,08:30,21:30,08:30,21:30,08:30,21:30,08:30,19:00,,,10:00,21:30,37.4105295,126.9111475
소망약국,안양시,경기도 안양시 동안구 평촌대로211번길 16,"경기도 안양시 동안구 호계동 1048-2번지 삼희월드프라자 109,110호",14072,031-383-7942,09:00,17:00,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,20:30,,,09:00,13:00,37.390378,126.9550352
솜사탕약국,안양시,경기도 안양시 동안구 시민대로 260,"경기도 안양시 동안구 관양동 1591-11번지 안양금융센터 A.F.C 1층 107, 108호",14067,031-5177-1890,08:30,18:30,08:30,18:30,08:30,18:30,08:30,18:30,08:30,18:30,,,,,,,37.3935078,126.9594185
수성약국,안양시,,경기도 안양시 만안구 박달동 939번지 한양수자인에듀파크 1층 103호,13982,031-464-7773,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,,,,,,,37.4030397,126.9040653
수암약국,안양시,경기도 안양시 만안구 안양로292번길 31,경기도 안양시 만안구 안양동 674-179번지,13992,031-466-6258,10:30,25:00,10:30,25:00,10:30,25:00,10:30,25:00,10:30,25:00,10:30,25:00,10:30,13:00,10:30,25:00,37.3992954,126.9233244
수약국,안양시,경기도 안양시 동안구 경수대로 428,경기도 안양시 동안구 호계동 873번지 덕유파크 3층 314호,14126,031-457-2220,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,14:30,,,,,37.3622442,126.9624999
수약국,안양시,경기도 안양시 만안구 안양로 262,경기도 안양시 만안구 안양동 622-250번지,13996,031-468-3350,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,14:00,,,,,37.3962604,126.9238674
수정약국,안양시,경기도 안양시 만안구 안양로 366,경기도 안양시 만안구 안양동 847-16번지,13991,031-445-2373,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,18:00,,,,,37.4040169,126.9174806
수촌늘푸른약국,안양시,경기도 안양시 동안구 관악대로287번길 27,경기도 안양시 동안구 관양동 1380-2번지 태광빌딩 104호,13936,031-386-4310,09:30,22:00,09:30,22:00,09:30,22:00,09:30,22:00,09:30,22:00,09:30,22:00,,,,,37.4041393,126.9544723
스마일약국,안양시,경기도 안양시 동안구 평촌대로 142,경기도 안양시 동안구 평촌동 900-1번지 트윈마트 203호,14103,031-387-0560,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,16:00,,,09:00,12:00,37.384992,126.9598976
스마트약국,안양시,경기도 안양시 동안구 시민대로 311,경기도 안양시 동안구 관양동 1746번지 금강스마트빌딩 136호,14055,031-422-1138,08:30,19:30,08:30,19:30,08:30,19:00,08:30,19:30,08:30,19:30,08:30,14:00,,,,,37.3961005,126.9646533
신덕천약국,안양시,경기도 안양시 동안구 관악대로 72,경기도 안양시 동안구 비산동 558-1번지,13955,031-446-4278,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,13:30,,,,,37.3976354,126.9323303
신라약국,안양시,경기도 안양시 동안구 관평로 227,경기도 안양시 동안구 관양동 1589-1번지 한가람아파트 상가동 108호,14052,031-381-1563,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,,,,,,,37.3967636,126.9578473
신세계온누리약국,안양시,경기도 안양시 동안구 임곡로 62,경기도 안양시 동안구 비산동 514번지 임곡프라자 116호,13916,031-464-0369,08:30,21:00,08:30,21:00,08:30,21:00,08:30,21:00,08:30,21:00,08:30,20:00,,,,,37.4048351,126.9337448
신우리약국,안양시,경기도 안양시 만안구 안양로 316,경기도 안양시 만안구 안양동 668-33번지 본프라자 305호,13992,031-464-6466,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,16:00,,,,,37.400562,126.9206031
신원당약국,안양시,경기도 안양시 동안구 엘에스로 44,경기도 안양시 동안구 호계동 971-7번지,14120,031-452-0422,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,16:00,,,09:00,21:00,37.367916,126.9550961
실로암약국,안양시,경기도 안양시 동안구 동안로 194,경기도 안양시 동안구 비산동 1101-2번지 한양스포츠센타 2층 215호,14043,031-387-6566,09:00,13:00,09:00,13:00,09:00,13:00,09:00,13:00,09:00,13:00,09:00,16:30,,,,,37.39584,126.9491435
아름다운약국,안양시,경기도 안양시 동안구 경수대로 536,경기도 안양시 동안구 호계동 1003-9번지 정암빌딩 5층,14112,031-459-0046,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,16:00,,,,,37.370671,126.9583175
아름약국,안양시,경기도 안양시 동안구 학의로 282,경기도 안양시 동안구 관양동 810번지 금강펜테리움IT타워 1층 123호,14056,031-388-0557,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,,,09:30,23:00,37.40097,126.9691155
아민약국,안양시,경기도 안양시 동안구 시민대로 300,경기도 안양시 동안구 관양동 1608번지,14066,031-388-5535,10:00,11:00,10:00,11:00,10:00,11:00,10:00,11:00,10:00,11:00,10:00,11:00,10:00,11:00,,,37.3949065,126.9637241
아크로약국,안양시,경기도 안양시 동안구 시민대로 230,경기도 안양시 동안구 관양동 1591번지 평촌아크로타워 A310-1호,14067,031-388-0332,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,,,,,,,37.3923317,126.9565123
아프지마약국,안양시,경기도 안양시 만안구 장내로 164,경기도 안양시 만안구 안양동 1384번지 청솔프라자 1층 105호,13995,031-466-8009,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3989553,126.925677
안세온누리약국,안양시,경기도 안양시 동안구 관악대로 349,경기도 안양시 동안구 관양동 1422-12번지 1층,13938,031-421-3720,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,16:00,,,09:00,22:00,37.4042442,126.9616125
안양365약국,안양시,경기도 안양시 동안구 동안로 119,경기도 안양시 동안구 호계동 1039-3번지 킴스아울렛 지하1층 일부호,14073,031-380-1442,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,10:30,21:00,10:30,21:00,,,37.3892156,126.951214
안양새천년약국,안양시,경기도 안양시 만안구 경수대로 1173,경기도 안양시 만안구 안양동 42-5번지 1층,13958,031-473-3258,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,,,09:00,21:00,37.4151127,126.9174738
안양성모약국,안양시,경기도 안양시 만안구 장내로 107,경기도 안양시 만안구 안양동 711-221번지,14002,031-446-3719,10:30,20:00,10:30,20:00,10:30,20:00,10:30,20:00,10:30,20:00,10:30,17:00,,,,,37.3963049,126.920071
안양솔약국,안양시,경기도 안양시 만안구 안양로 276,경기도 안양시 만안구 안양동 622-332번지 1층,13996,031-445-2214,08:30,20:30,08:30,20:30,08:30,20:30,08:30,20:30,08:30,20:30,08:30,16:00,,,,,37.397293,126.9230573
안양온약국,안양시,경기도 안양시 동안구 안양판교로 16,경기도 안양시 동안구 관양동 1505-15번지 1층 101~119호,13943,031-0000-0000,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.4004045,126.9777288
안양왕약국,안양시,경기도 안양시 만안구 안양로 293,경기도 안양시 만안구 안양동 676-101번지,14001,031-441-4111,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,,37.3983216,126.9214225
안양우리들약국,안양시,경기도 안양시 만안구 안양로 297,경기도 안양시 만안구 안양동 676-214번지 1층 102호,14001,031-442-2221,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3985632,126.9210591
안양일호약국,안양시,경기도 안양시 동안구 관악대로 297,경기도 안양시 동안구 관양동 1384-20번지 1층 (일부)호,13940,031-000-0000,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.4031903,126.9558689
안양제일약국,안양시,경기도 안양시 만안구 삼덕로 10,경기도 안양시 만안구 안양동 627-205번지,13999,031-444-4477,08:30,19:30,08:30,19:30,08:30,19:30,08:30,19:30,08:30,19:30,08:30,17:00,,,,,37.3937564,126.924248
안양팜올데이약국,안양시,경기도 안양시 동안구 흥안대로 125,경기도 안양시 동안구 호계동 1003-5번지 1층,14112,031-000-0000,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3708525,126.9585872
안양힘찬약국,안양시,경기도 안양시 만안구 안양로 286,경기도 안양시 만안구 안양동 674-234번지,13992,031-442-1122,,,,,,,,,,,,,,,,,37.3979841,126.9224419
어바인365약국,안양시,경기도 안양시 동안구 경수대로 585,경기도 안양시 동안구 호계동 1296번지 상가 2동 110호,14114,070-8080-0802,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,09:30,22:00,09:30,22:00,09:30,22:00,37.3746454,126.9562107
엘약국,안양시,경기도 안양시 동안구 경수대로 560,경기도 안양시 동안구 호계동 995-4번지 새마을금고 지하1층,14112,031-427-4029,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,08:30,13:00,,,,,37.3727618,126.958246
여기약국,안양시,경기도 안양시 만안구 박달로 476,경기도 안양시 만안구 박달동 137-5번지 대원빌딩 102-1호,14016,031-465-0675,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.4020901,126.9052252
열린마트약국,안양시,,경기도 안양시 동안구 비산로52번길 20,,031-468-1662,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,,,,,,
영진약국,안양시,경기도 안양시 만안구 문예로 50,경기도 안양시 만안구 안양동 532-3번지 한림시티빌아파트 104호,14035,031-442-6712,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,21:00,,,,,37.3860207,126.9331747
예인약국,안양시,경기도 안양시 동안구 관악대로 388,경기도 안양시 동안구 관양동 1459-5번지,13947,031-425-5617,10:30,21:00,10:30,21:00,10:30,21:00,10:30,21:00,10:30,21:00,10:30,21:00,,,09:00,22:30,37.404273,126.9659963
오렌지약국,안양시,경기도 안양시 만안구 안양로 339,경기도 안양시 만안구 안양동 695-208번지,14006,031-447-0134,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,15:00,,,,,37.4017598,126.9185601
오색약국,안양시,경기도 안양시 동안구 관악대로 342,경기도 안양시 동안구 관양동 1446-5번지 BRICK 342 1층 일부(103)호,13945,0313470808,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.4033568,126.9607262
오성약국,안양시,경기도 안양시 만안구 양화로 25,경기도 안양시 만안구 안양동 966-22번지,14011,031-469-6917,08:00,20:30,08:00,20:30,08:00,20:30,08:00,20:30,08:00,20:30,08:00,20:00,,,,,37.3960785,126.9143674
오얏봉약국,안양시,경기도 안양시 동안구 관평로170번길 33,경기도 안양시 동안구 관양동 1606번지 평촌주공공이 107호,14066,031-388-3212,08:30,19:00,08:30,19:00,08:30,19:00,08:30,19:00,08:30,19:00,,,,,,,37.3930162,126.9622915
오케이약국,안양시,경기도 안양시 만안구 덕천로 117,경기도 안양시 만안구 안양동 1395번지 삼성프라자 102호,14038,031-441-1121,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3917029,126.9339227
오행당약국,안양시,경기도 안양시 동안구 귀인로 100,경기도 안양시 동안구 호계동 927번지 흥화아파트 상가 1층 103호,14081,031-456-1191,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:30,22:00,,,37.3819038,126.9508607
온누리산소약국,안양시,경기도 안양시 만안구 박달로 431,경기도 안양시 만안구 박달동 157-13번지 105호,13978,031-468-0825,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,16:00,15:00,19:00,15:00,19:00,37.4020484,126.900548
온정약국,안양시,경기도 안양시 만안구 장내로 125,경기도 안양시 만안구 안양동 676-117번지 1층 5호,14001,031-443-0280,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.3972941,126.9214417
올리브약국,안양시,경기도 안양시 만안구 안양로 142,경기도 안양시 만안구 안양동 517-16번지 부성빌딩 1층 1호,14034,031-443-7569,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,,37.3872298,126.9315502
옵티마나라약국,안양시,경기도 안양시 동안구 동안로 120,경기도 안양시 동안구 호계동 1051번지 올림픽스포츠센터 510호,14072,031-381-2631,08:30,19:30,08:30,19:30,08:30,19:30,08:30,19:30,08:30,19:30,08:30,16:00,,,,,37.3895629,126.9522508
왕약국,안양시,경기도 안양시 동안구 안양판교로 12-2,경기도 안양시 동안구 관양동 1505-7번지 1층,13943,031-476-7406,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,19:00,,,,,37.4008459,126.9776806
우리네온누리약국,안양시,경기도 안양시 만안구 안양로 310,경기도 안양시 만안구 안양동 674-43번지 1층,13992,070-4232-7677,09:00,18:30,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,16:00,,,,,37.3997616,126.9209821
우리약국,안양시,경기도 안양시 동안구 동안로 11,경기도 안양시 동안구 호계동 1055-1번지 무궁화코오롱 상가 1층,14100,031-381-0828,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,15:00,,,09:00,19:00,37.3808329,126.9551495
우리온누리약국,안양시,경기도 안양시 동안구 동안로 128,경기도 안양시 동안구 호계동 1045번지 1층,14072,031-386-0491,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,10:00,22:00,,,37.3903449,126.951782
우리한약국,안양시,경기도 안양시 만안구 냉천로193번길 27,경기도 안양시 만안구 안양동 711-83번지,14002,031-465-7579,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,17:00,,,10:00,17:00,37.396422,126.918206
원광한약국,안양시,경기도 안양시 동안구 평촌대로223번길 49,경기도 안양시 동안구 호계동 1046-6번지 아트타워빌딩 5층 501호,14072,031-383-3180,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,15:00,,,,,37.3903509,126.9530697
웰빙약국,안양시,경기도 안양시 동안구 안양판교로 16,"경기도 안양시 동안구 관양동 1505-15번지 7층 717,718호",13943,031-00-0000,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,13:00,,,,,37.4004045,126.9777288
웰빙프라자약국,안양시,경기도 안양시 동안구 평촌대로 131,경기도 안양시 동안구 호계동 1058-7번지 아카데미센터 101호,14099,031-381-8284,09:00,22:30,09:00,22:30,09:00,22:30,09:00,22:30,09:00,22:30,09:00,22:30,,,,,37.3837093,126.9592968
유림온누리약국,안양시,경기도 안양시 동안구 흥안대로 502,경기도 안양시 동안구 관양동 1506-15번지 1층,13943,031-421-3973,08:30,19:00,08:30,19:00,08:30,19:00,08:30,19:00,08:30,19:00,08:30,16:00,09:00,17:00,,,37.39879,126.9774915
유약국,안양시,경기도 안양시 만안구 안양로 266,경기도 안양시 만안구 안양동 622-316번지 1층,13996,031-469-5300,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:00,18:30,09:30,15:00,09:30,15:00,,,37.396539,126.9236958
으뜸약국,안양시,경기도 안양시 동안구 흥안대로 415,경기도 안양시 동안구 평촌동 126-1번지 두산벤처다임 2층 252호,14059,070-7723-4155,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,18:00,,,,,37.3916492,126.9729996
